user_id,email,password_hash,first_name,last_name,date_of_birth,country_code,phone,status,created_at,updated_at
1,emil.jones.1@gmail.com,$2b$12$6a7e919144de4b8aa6e9684d32827c89,Emil,Jones,1984-09-03,PL,+48 848 891 994,active,2024-01-22 15:33:57,2025-10-15 15:00:21
2,michael.pastucha.2@o2.pl,$2b$12$8b6b234459b34505868fb5c3eb959eea,Michael,Pastucha,1962-11-07,PL,+48 165 991 945,inactive,2023-08-12 00:33:10,2024-12-13 09:58:45
3,stanisław.johnson.3@yahoo.com,$2b$12$6ce2abddc6684c15a4799fe5ddf67f9c,Stanisław,Johnson,1997-08-20,PL,+48 446 452 390,deleted,2025-03-19 15:17:17,2025-10-22 22:21:09
4,krzysztof.siwa.4@o2.pl,$2b$12$424c3195b9cd4f639258ed6e3133b17f,Krzysztof,Siwa,1990-07-11,PL,+48 415 242 867,deleted,2022-01-07 11:29:15,2022-05-22 06:52:51
5,candace.łepek.5@outlook.com,$2b$12$f5d6eb4a5ab24011a5470eefb6ef044a,Candace,Łepek,1990-11-09,GB,,suspended,2022-10-03 14:23:52,2023-02-28 10:39:24
6,joshua.larysz.6@gmail.com,$2b$12$089eb581e14a44eaaf4b45f1a32d94f8,Joshua,Larysz,1986-04-20,ES,+34 014 670 936,deleted,2022-03-03 08:12:58,2022-11-27 06:55:04
7,jędrzej.stephens.7@yahoo.com,$2b$12$f270df901ea34cd086ac62a14abc51ce,Jędrzej,Stephens,1980-06-11,FR,,deleted,2021-05-25 01:04:33,2021-11-10 19:46:08
8,darrell.zimoń.8@yahoo.com,$2b$12$2f278a71d58c4505bb55c4b4bf947283,Darrell,Zimoń,1992-09-23,PL,+48 707 346 031,suspended,2021-08-07 22:45:42,2025-09-20 06:20:09
9,heidi.małysiak.9@interia.pl,$2b$12$045471e5563440bdbf9cfbe63135ede7,Heidi,Małysiak,1975-05-09,US,+1 134 079 921,active,2022-04-11 09:17:05,2025-12-16 18:08:21
10,emil.gonzalez.10@interia.pl,$2b$12$f08adab7066a40d0b3c7aa993b5542e7,Emil,Gonzalez,1979-09-14,DE,,deleted,2020-05-02 13:26:27,2024-12-27 09:49:29
11,ernest.grzelec.11@o2.pl,$2b$12$f3ffcc7d2cc5443dbb0e4b09e4749ded,Ernest,Grzelec,1984-01-08,PL,,inactive,2025-04-04 02:54:54,2025-06-28 08:39:46
12,matthew.lopez.12@o2.pl,$2b$12$9c9cb4c2a07f4e5aac986bc7dbb87089,Matthew,Lopez,2001-03-01,PL,+48 688 155 715,suspended,2023-05-14 22:58:55,2024-01-22 11:07:18
13,marcelina.mytnik.13@interia.pl,$2b$12$02cc82af40a8452cb5820782a172c45b,Marcelina,Mytnik,1995-10-31,PL,,active,2023-01-21 08:55:50,2023-04-29 01:34:53
14,jerzy.żugaj.14@gmail.com,$2b$12$33dec9a48260456ab9df0c848d10543b,Jerzy,Żugaj,1973-09-17,GB,,active,2023-07-30 17:34:20,2024-07-04 23:16:07
15,angela.west.15@interia.pl,$2b$12$aa3874a658684406af7a471735fedfbf,Angela,West,1982-07-22,UA,,active,2024-01-30 12:01:22,2024-04-19 17:51:50
16,alan.piotrowiak.16@outlook.com,$2b$12$cbd8c6541e9742658c4f56736333beed,Alan,Piotrowiak,1983-12-09,FR,+33 224 518 256,active,2022-08-10 13:41:45,2024-02-23 11:24:35
17,robin.tylka.17@yahoo.com,$2b$12$f9a2541c01fa4a17aeee233935d173c1,Robin,Tylka,1983-08-18,UA,,inactive,2025-06-22 13:37:20,2025-12-06 05:06:48
18,kellie.hernandez.18@yahoo.com,$2b$12$ab38655135d749f3b43a4f51a38c8dac,Kellie,Hernandez,2005-07-18,GB,+44 978 487 989,deleted,2020-12-19 22:53:40,2025-10-06 13:50:43
